日章興産,仮称大田区大森西二丁目複合施設新築その他工事（Ⅰ期）,08:00,4,4,0
明伸,(仮称)東京都世田谷区上用賀五丁目計画,08:00,4,4,0
三和シャッター工業,AGC(株)千葉工場殿向けFCC-1プロジェクト建設工事,08:00,2,2,0
ベルテック,メロディハイム水元公園弐番館,08:00,2,2,0
倉田工業,イオンモール甲府昭和店,07:00,2,0,0
山崎建装,台東区竜泉PJ,08:00,3,0,0
山和商事,(仮称)市川市行徳プロジェクト新築工事,08:00,3,0,0
竹下内装,(仮称)SS-K守谷本町プロジェクト新築工事,08:00,1,0,0
ワコー内装工業,グローリオ駒沢大学,08:45,3,0,0
オクタ立川店,立川市・岩村様邸,08:45,1,0,0
アヴェントハウス,(仮称)葛飾区新小岩1丁目計画　新築工事,13:00,0,4,0
佐藤建材工業,(仮称)三郷物流開発計画　西街区(三郷Ⅰ)新築工事,13:00,0,5,0
竹下内装,(仮称)TK様プロジェクト新築工事,13:00,0,1,0
ベルテック,ドラゴンマンション中央林間壱番館,13:30,0,3,0
